art_hist_1,art_hist_2,artist_or_period,"Does any relation 
exist between 
the two historians?","Is the relation recorded 
in at least one 
historian biography 
available on ARTchives?","Did they collaborate / interact 
on the period/artist at hand?","Is historian 2 relevant 
to historian 1's archive?","Is historian 2 mentioned 
as subject of historian 1's 
archive on ARTchives? ","Is historian 1 relevant 
to historian 2's archive?","Is historian 1 mentioned
 as subject of historian 2's 
archive on ARTchives? ","Is the relation recorded 
in both the 
historians' biographies 
available on ARTchives?"
Aby Warburg,Everett Fahy,renaissance,0,0,0,0,0,0,0,0
Ellis Waterhouse,Fritz Heinemann,baroque,0,0,0,0,0,0,0,0
Ellis Waterhouse,Richard Krautheimer,baroque,1,0,0,0,0,0,0,0
Ellis Waterhouse,Fritz Heinemann,mannerism,0,0,0,0,0,0,0,0
Ernst Steinmann,Everett Fahy,renaissance,0,0,0,,0,,0,0
Ernst Steinmann,Aby Warburg,renaissance,1,0,1,,0,1,0,0
Ernst Steinmann,Fritz Heinemann,renaissance,0,0,0,0,0,0,0,0
Ernst Steinmann,Richard Krautheimer,renaissance,1,1,,1,1,1,1,0
Ernst Steinmann,John Pope-Hennessy,renaissance,0,0,0,0,0,0,0,0
Ernst Steinmann,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Ernst Steinmann,Luisa Vertova,renaissance,0,0,0,0,0,0,0,0
Ernst Steinmann,Federico Zeri,renaissance,1,0,0,0,0,0,0,0
Ernst Steinmann,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Ernst Steinmann,Everett Fahy,Sandro Botticelli,0,0,0,,0,,0,0
Ernst Steinmann,John Pope-Hennessy,Sandro Botticelli,0,0,0,0,0,0,0,0
Ernst Steinmann,John Pope-Hennessy,Michelangelo,0,0,0,0,0,0,0,0
Federico Zeri,Ernst Kitzinger,middle ages,1,0,,0,0,0,0,0
Federico Zeri,Otto Lehmann-Brockhaus,middle ages,0,0,0,,0,,0,0
Federico Zeri,Everett Fahy,renaissance,1,1,1,1,1,1,1,0
Federico Zeri,Aby Warburg,renaissance,1,0,0,,0,1,1,0
Federico Zeri,Fritz Heinemann,renaissance,1,0,1,1,0,,0,0
Federico Zeri,Richard Krautheimer,renaissance,1,0,0,0,0,0,0,0
Federico Zeri,John Pope-Hennessy,renaissance,1,1,1,1,0,0,0,0
Federico Zeri,Julian Kliemann,renaissance,1,0,0,0,0,0,0,0
Federico Zeri,Luisa Vertova,renaissance,1,1,1,,0,1,1,0
Federico Zeri,Everett Fahy,15th century,1,1,1,1,1,1,1,0
Federico Zeri,Fritz Heinemann,15th century,1,0,1,1,0,,0,0
Federico Zeri,John Pope-Hennessy,15th century,1,1,1,1,0,0,0,0
Federico Zeri,Julian Kliemann,15th century,1,0,0,0,0,0,0,0
Federico Zeri,Luisa Vertova,15th century,1,1,1,,0,1,1,0
Federico Zeri,Gustav Ludwig,15th century,0,0,0,,0,0,0,0
Federico Zeri,Everett Fahy,16th century,1,1,1,1,1,1,1,0
Federico Zeri,Fritz Heinemann,16th century,1,0,1,1,0,,0,0
Federico Zeri,Julian Kliemann,16th century,1,0,0,0,0,0,0,0
Federico Zeri,Luisa Vertova,16th century,1,1,1,,0,1,1,0
