"art_hist1","art_hist_2","artist_or_period"
"Richard Krautheimer","Ernst Kitzinger","byzantine art"
"Otto Lehmann-Brockhaus","Ernst Kitzinger","middle ages"
"Federico Zeri","Ernst Kitzinger","middle ages"
"Werner Cohn","Ernst Kitzinger","middle ages"
"Kurt Badt","Ernst Kitzinger","middle ages"
"Federico Zeri","Otto Lehmann-Brockhaus","middle ages"
"Werner Cohn","Otto Lehmann-Brockhaus","middle ages"
"Kurt Badt","Otto Lehmann-Brockhaus","middle ages"
"Werner Cohn","Federico Zeri","middle ages"
"Kurt Badt","Federico Zeri","middle ages"
"Kurt Badt","Werner Cohn","middle ages"
"Richard Krautheimer","Ernst Kitzinger","early christian art and architecture"
"Werner Cohn","Federico Zeri","renaissance"
"Aby Warburg","John Pope-Hennessy","renaissance"
"Ernst Steinmann","John Pope-Hennessy","renaissance"
"Everett Fahy","John Pope-Hennessy","renaissance"
"Richard Krautheimer","John Pope-Hennessy","renaissance"
"Federico Zeri","John Pope-Hennessy","renaissance"
"Stefano Tumidei","John Pope-Hennessy","renaissance"
"Kornél Fabriczy","John Pope-Hennessy","renaissance"
"Fritz Heinemann","John Pope-Hennessy","renaissance"
"Ulrich Middeldorf","John Pope-Hennessy","renaissance"
"Werner Cohn","John Pope-Hennessy","renaissance"
"Luisa Vertova","John Pope-Hennessy","renaissance"
"Leo Steinberg","John Pope-Hennessy","renaissance"
"Wolfgang Lotz","John Pope-Hennessy","renaissance"
"Julian Kliemann","John Pope-Hennessy","renaissance"
"Roberto Longhi","John Pope-Hennessy","renaissance"
"Ernst Steinmann","Aby Warburg","renaissance"
"Everett Fahy","Aby Warburg","renaissance"
"Richard Krautheimer","Aby Warburg","renaissance"
"Federico Zeri","Aby Warburg","renaissance"
"Stefano Tumidei","Aby Warburg","renaissance"
"Kornél Fabriczy","Aby Warburg","renaissance"
"Fritz Heinemann","Aby Warburg","renaissance"
"Ulrich Middeldorf","Aby Warburg","renaissance"
"Werner Cohn","Aby Warburg","renaissance"
"Luisa Vertova","Aby Warburg","renaissance"
"Leo Steinberg","Aby Warburg","renaissance"
"Wolfgang Lotz","Aby Warburg","renaissance"
"Julian Kliemann","Aby Warburg","renaissance"
"Roberto Longhi","Aby Warburg","renaissance"
"Everett Fahy","Ernst Steinmann","renaissance"
"Richard Krautheimer","Ernst Steinmann","renaissance"
"Federico Zeri","Ernst Steinmann","renaissance"
"Stefano Tumidei","Ernst Steinmann","renaissance"
"Kornél Fabriczy","Ernst Steinmann","renaissance"
"Fritz Heinemann","Ernst Steinmann","renaissance"
"Ulrich Middeldorf","Ernst Steinmann","renaissance"
"Werner Cohn","Ernst Steinmann","renaissance"
"Luisa Vertova","Ernst Steinmann","renaissance"
"Leo Steinberg","Ernst Steinmann","renaissance"
"Wolfgang Lotz","Ernst Steinmann","renaissance"
"Julian Kliemann","Ernst Steinmann","renaissance"
"Roberto Longhi","Ernst Steinmann","renaissance"
"Richard Krautheimer","Everett Fahy","renaissance"
"Federico Zeri","Everett Fahy","renaissance"
"Stefano Tumidei","Everett Fahy","renaissance"
"Kornél Fabriczy","Everett Fahy","renaissance"
"Fritz Heinemann","Everett Fahy","renaissance"
"Ulrich Middeldorf","Everett Fahy","renaissance"
"Werner Cohn","Everett Fahy","renaissance"
"Luisa Vertova","Everett Fahy","renaissance"
"Leo Steinberg","Everett Fahy","renaissance"
"Wolfgang Lotz","Everett Fahy","renaissance"
"Julian Kliemann","Everett Fahy","renaissance"
"Roberto Longhi","Everett Fahy","renaissance"
"Federico Zeri","Richard Krautheimer","renaissance"
"Stefano Tumidei","Richard Krautheimer","renaissance"
"Kornél Fabriczy","Richard Krautheimer","renaissance"
"Fritz Heinemann","Richard Krautheimer","renaissance"
"Ulrich Middeldorf","Richard Krautheimer","renaissance"
"Werner Cohn","Richard Krautheimer","renaissance"
"Luisa Vertova","Richard Krautheimer","renaissance"
"Leo Steinberg","Richard Krautheimer","renaissance"
"Wolfgang Lotz","Richard Krautheimer","renaissance"
"Julian Kliemann","Richard Krautheimer","renaissance"
"Roberto Longhi","Richard Krautheimer","renaissance"
"Stefano Tumidei","Federico Zeri","renaissance"
"Kornél Fabriczy","Federico Zeri","renaissance"
"Fritz Heinemann","Federico Zeri","renaissance"
"Ulrich Middeldorf","Federico Zeri","renaissance"
"Luisa Vertova","Federico Zeri","renaissance"
"Leo Steinberg","Federico Zeri","renaissance"
"Wolfgang Lotz","Federico Zeri","renaissance"
"Julian Kliemann","Federico Zeri","renaissance"
"Roberto Longhi","Federico Zeri","renaissance"
"Kornél Fabriczy","Stefano Tumidei","renaissance"
"Fritz Heinemann","Stefano Tumidei","renaissance"
"Ulrich Middeldorf","Stefano Tumidei","renaissance"
"Werner Cohn","Stefano Tumidei","renaissance"
"Luisa Vertova","Stefano Tumidei","renaissance"
"Leo Steinberg","Stefano Tumidei","renaissance"
"Wolfgang Lotz","Stefano Tumidei","renaissance"
"Julian Kliemann","Stefano Tumidei","renaissance"
"Roberto Longhi","Stefano Tumidei","renaissance"
"Fritz Heinemann","Kornél Fabriczy","renaissance"
"Ulrich Middeldorf","Kornél Fabriczy","renaissance"
"Werner Cohn","Kornél Fabriczy","renaissance"
"Luisa Vertova","Kornél Fabriczy","renaissance"
"Leo Steinberg","Kornél Fabriczy","renaissance"
"Wolfgang Lotz","Kornél Fabriczy","renaissance"
"Julian Kliemann","Kornél Fabriczy","renaissance"
"Roberto Longhi","Kornél Fabriczy","renaissance"
"Ulrich Middeldorf","Fritz Heinemann","renaissance"
"Werner Cohn","Fritz Heinemann","renaissance"
"Luisa Vertova","Fritz Heinemann","renaissance"
"Leo Steinberg","Fritz Heinemann","renaissance"
"Wolfgang Lotz","Fritz Heinemann","renaissance"
"Julian Kliemann","Fritz Heinemann","renaissance"
"Roberto Longhi","Fritz Heinemann","renaissance"
"Werner Cohn","Ulrich Middeldorf","renaissance"
"Luisa Vertova","Ulrich Middeldorf","renaissance"
"Leo Steinberg","Ulrich Middeldorf","renaissance"
"Wolfgang Lotz","Ulrich Middeldorf","renaissance"
"Julian Kliemann","Ulrich Middeldorf","renaissance"
"Roberto Longhi","Ulrich Middeldorf","renaissance"
"Luisa Vertova","Werner Cohn","renaissance"
"Leo Steinberg","Werner Cohn","renaissance"
"Wolfgang Lotz","Werner Cohn","renaissance"
"Julian Kliemann","Werner Cohn","renaissance"
"Roberto Longhi","Werner Cohn","renaissance"
"Leo Steinberg","Luisa Vertova","renaissance"
"Wolfgang Lotz","Luisa Vertova","renaissance"
"Julian Kliemann","Luisa Vertova","renaissance"
"Roberto Longhi","Luisa Vertova","renaissance"
"Wolfgang Lotz","Leo Steinberg","renaissance"
"Julian Kliemann","Leo Steinberg","renaissance"
"Roberto Longhi","Leo Steinberg","renaissance"
"Julian Kliemann","Wolfgang Lotz","renaissance"
"Roberto Longhi","Wolfgang Lotz","renaissance"
"Roberto Longhi","Julian Kliemann","renaissance"
