"art_hist1","art_hist_2","institution","Does any relation exist between the two historians?","Which one? If known"
"Federico Zeri","Ellis Waterhouse","Massachusetts"
"Ulrich Middeldorf","Julian Kliemann","Berlin"
"Ulrich Middeldorf","Richard Krautheimer","Berlin"
"Ulrich Middeldorf","Kurt Badt","Berlin"
"Ulrich Middeldorf","Werner Cohn","Berlin"
"Ulrich Middeldorf","Leo Steinberg","Berlin"
"Julian Kliemann","Richard Krautheimer","Berlin"
"Julian Kliemann","Kurt Badt","Berlin"
"Julian Kliemann","Werner Cohn","Berlin"
"Julian Kliemann","Leo Steinberg","Berlin"
"Richard Krautheimer","Kurt Badt","Berlin"
"Richard Krautheimer","Werner Cohn","Berlin"
"Richard Krautheimer","Leo Steinberg","Berlin"
"Kurt Badt","Werner Cohn","Berlin"
"Kurt Badt","Leo Steinberg","Berlin"
"Werner Cohn","Leo Steinberg","Berlin"
"Eugenio Battisti","Luigi Salerno","Pennsylvania State University"
"Ulrich Middeldorf","Fritz Heinemann","Munich"
"Ulrich Middeldorf","Richard Krautheimer","Munich"
"Ulrich Middeldorf","Aby Warburg","Munich"
"Ulrich Middeldorf","Wolfgang Lotz","Munich"
"Ulrich Middeldorf","Kurt Badt","Munich"
"Ulrich Middeldorf","Otto Lehmann-Brockhaus","Munich"
"Fritz Heinemann","Richard Krautheimer","Munich"
"Fritz Heinemann","Aby Warburg","Munich"
"Fritz Heinemann","Wolfgang Lotz","Munich"
"Fritz Heinemann","Kurt Badt","Munich"
"Fritz Heinemann","Otto Lehmann-Brockhaus","Munich"
"Richard Krautheimer","Aby Warburg","Munich"
"Richard Krautheimer","Wolfgang Lotz","Munich"
"Richard Krautheimer","Kurt Badt","Munich"
"Richard Krautheimer","Otto Lehmann-Brockhaus","Munich"
"Aby Warburg","Wolfgang Lotz","Munich"
"Aby Warburg","Kurt Badt","Munich"
"Aby Warburg","Otto Lehmann-Brockhaus","Munich"
"Wolfgang Lotz","Kurt Badt","Munich"
"Wolfgang Lotz","Otto Lehmann-Brockhaus","Munich"
"Kurt Badt","Otto Lehmann-Brockhaus","Munich"
"Richard Krautheimer","Otto Lehmann-Brockhaus","University of Marburg"
"Aby Warburg","Wolfgang Lotz","Hamburg"
"Ernst Steinmann","Otto Lehmann-Brockhaus","Max Planck Society"
"Federico Zeri","Julius S. Held","New York City"
"Federico Zeri","Leo Steinberg","New York City"
"Julius S. Held","Leo Steinberg","New York City"
"Ulrich Middeldorf","Aby Warburg","Kunsthistorisches Institut in Florenz"
"Ulrich Middeldorf","Wolfgang Lotz","Kunsthistorisches Institut in Florenz"
"Aby Warburg","Wolfgang Lotz","Kunsthistorisches Institut in Florenz"
"Gustav Ludwig","Luisa Vertova","London"
"Gustav Ludwig","Kornél Fabriczy","London"
"Gustav Ludwig","Federico Zeri","London"
"Gustav Ludwig","Luigi Salerno","London"
"Gustav Ludwig","Kurt Badt","London"
"Gustav Ludwig","Ellis Waterhouse","London"
"Gustav Ludwig","Leo Steinberg","London"
"Luisa Vertova","Kornél Fabriczy","London"
"Luisa Vertova","Federico Zeri","London"
"Luisa Vertova","Luigi Salerno","London"
"Luisa Vertova","Kurt Badt","London"
"Luisa Vertova","Ellis Waterhouse","London"
"Luisa Vertova","Leo Steinberg","London"
"Kornél Fabriczy","Federico Zeri","London"
"Kornél Fabriczy","Luigi Salerno","London"
"Kornél Fabriczy","Kurt Badt","London"
"Kornél Fabriczy","Ellis Waterhouse","London"
"Kornél Fabriczy","Leo Steinberg","London"
"Federico Zeri","Luigi Salerno","London"
"Federico Zeri","Kurt Badt","London"
"Federico Zeri","Ellis Waterhouse","London"
"Federico Zeri","Leo Steinberg","London"
"Luigi Salerno","Kurt Badt","London"
"Luigi Salerno","Ellis Waterhouse","London"
"Luigi Salerno","Leo Steinberg","London"
"Kurt Badt","Ellis Waterhouse","London"
"Kurt Badt","Leo Steinberg","London"
"Ellis Waterhouse","Leo Steinberg","London"
"Roberto Longhi","Stefano Tumidei","University of Bologna"
"Roberto Longhi","Federico Zeri","University of Bologna"
"Stefano Tumidei","Federico Zeri","University of Bologna"
"Roberto Longhi","Luisa Vertova","Milan"
"Richard Krautheimer","Wolfgang Lotz","Nezu Museum"
"Richard Krautheimer","Everett Fahy","Nezu Museum"
"Richard Krautheimer","John Pope-Hennessy","Nezu Museum"
"Richard Krautheimer","Leo Steinberg","Nezu Museum"
"Wolfgang Lotz","Everett Fahy","Nezu Museum"
"Wolfgang Lotz","John Pope-Hennessy","Nezu Museum"
"Wolfgang Lotz","Leo Steinberg","Nezu Museum"
"Everett Fahy","John Pope-Hennessy","Nezu Museum"
"Everett Fahy","Leo Steinberg","Nezu Museum"
"John Pope-Hennessy","Leo Steinberg","Nezu Museum"
"Aby Warburg","Werner Cohn","Strasbourg"
"Federico Zeri","Everett Fahy","Metropolitan Museum of Art"
"Federico Zeri","John Pope-Hennessy","Metropolitan Museum of Art"
"Federico Zeri","Leo Steinberg","Metropolitan Museum of Art"
"Everett Fahy","John Pope-Hennessy","Metropolitan Museum of Art"
"Everett Fahy","Leo Steinberg","Metropolitan Museum of Art"
"John Pope-Hennessy","Leo Steinberg","Metropolitan Museum of Art"
"Luisa Vertova","Stefano Tumidei","Florence"
