"art_hist","art_hist_uri","person","person_uri","weight"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","John Pope-Hennessy","<http://www.wikidata.org/entity/Q537874>","2"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","2"
"Kurt Badt","<http://www.wikidata.org/entity/Q1629748>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","2"
"Kurt Badt","<http://www.wikidata.org/entity/Q1629748>","Ernst Barlach","<http://www.wikidata.org/entity/Q156890>","2"
"Kurt Badt","<http://www.wikidata.org/entity/Q1629748>","Alfons Rosenberg","<http://www.wikidata.org/entity/Q100715>","2"
"Kurt Badt","<http://www.wikidata.org/entity/Q1629748>","Hans Sedlmayr","<http://www.wikidata.org/entity/Q79084>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Rudolf Wittkower","<http://www.wikidata.org/entity/Q215999>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Adolph Goldschmidt","<http://www.wikidata.org/entity/Q70804>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Wolfgang Lotz","<http://www.wikidata.org/entity/Q701741>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Paul Frankl","<http://www.wikidata.org/entity/Q107970>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Heinrich Wölfflin","<http://www.wikidata.org/entity/Q123466>","2"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Jayne Wrightsman","<http://www.wikidata.org/entity/Q6167922>","2"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Hans Jantzen","<http://www.wikidata.org/entity/Q1580468>","2"
"Ulrich Middeldorf","<http://www.wikidata.org/entity/Q1715096>","Roberto Longhi","<http://www.wikidata.org/entity/Q1361667>","2"
"Ulrich Middeldorf","<http://www.wikidata.org/entity/Q1715096>","Adolph Goldschmidt","<http://www.wikidata.org/entity/Q70804>","2"
"Ulrich Middeldorf","<http://www.wikidata.org/entity/Q1715096>","Heinrich Wölfflin","<http://www.wikidata.org/entity/Q123466>","2"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Jacob Burckhardt","<http://www.wikidata.org/entity/Q59945>","2"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Wilhelm von Bode","<http://www.wikidata.org/entity/Q64607>","2"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Gaetano Milanesi","<http://www.wikidata.org/entity/Q616004>","2"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Heinrich Frey","<http://www.wikidata.org/entity/Q68455>","2"
"Stefano Tumidei","<http://www.wikidata.org/entity/Q55453618>","Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","2"
"Stefano Tumidei","<http://www.wikidata.org/entity/Q55453618>","Roberto Longhi","<http://www.wikidata.org/entity/Q1361667>","2"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Bernard Berenson","<http://www.wikidata.org/entity/Q359047>","2"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Henriette Hertz","<http://www.wikidata.org/entity/Q103498>","2"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Rudolf Wittkower","<http://www.wikidata.org/entity/Q215999>","2"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Anton Heinrich Springer","<http://www.wikidata.org/entity/Q64637>","2"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Karl Lehmann","<http://www.wikidata.org/entity/Q45019>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Wolfgang Lotz","<http://www.wikidata.org/entity/Q701741>","2"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Harry Bober","<http://www.wikidata.org/entity/Q5667416>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Giuliano Briganti","<http://www.wikidata.org/entity/Q3769356>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Denis Mahon","<http://www.wikidata.org/entity/Q3705445>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Mario Praz","<http://www.wikidata.org/entity/Q981971>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Bernard Berenson","<http://www.wikidata.org/entity/Q359047>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Daniel Wildenstein","<http://www.wikidata.org/entity/Q723358>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Frederick Antal","<http://www.wikidata.org/entity/Q215037>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Roberto Longhi","<http://www.wikidata.org/entity/Q1361667>","2"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","John Pope-Hennessy","<http://www.wikidata.org/entity/Q537874>","2"
"John Pope-Hennessy","<http://www.wikidata.org/entity/Q537874>","John Pope-Hennessy","<http://www.wikidata.org/entity/Q537874>","2"
"Otto Lehmann-Brockhaus","<http://www.wikidata.org/entity/Q1641821>","Wolfgang Lotz","<http://www.wikidata.org/entity/Q701741>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Hubert Janitschek","<http://www.wikidata.org/entity/Q5828092>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Jacob Burckhardt","<http://www.wikidata.org/entity/Q59945>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Hermann Usener","<http://www.wikidata.org/entity/Q63078>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Bernard Berenson","<http://www.wikidata.org/entity/Q359047>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Isolde Kurz","<http://www.wikidata.org/entity/Q77856>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Carl Justi","<http://www.wikidata.org/entity/Q77314>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Jacques Mesnil","<http://www.wikidata.org/entity/Q1890649>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Herbert Horne","<http://www.wikidata.org/entity/Q597283>","2"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Adolf von Hildebrand","<http://www.wikidata.org/entity/Q364808>","2"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","David Freedberg","<http://www.wikidata.org/entity/Q5233838>","3"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","John Pope-Hennessy","<http://www.wikidata.org/entity/Q537874>","3"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","3"
"Everett Fahy","<http://www.wikidata.org/entity/Q19997512>","Andrea De Marchi","<http://www.wikidata.org/entity/Q61964347>","3"
"Kurt Badt","<http://www.wikidata.org/entity/Q1629748>","Wilhelm von Bode","<http://www.wikidata.org/entity/Q64607>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","William D. Wixom","<http://www.wikidata.org/entity/Q19754137>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","Ernst Gombrich","<http://www.wikidata.org/entity/Q78504>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","Kurt Weitzmann","<http://www.wikidata.org/entity/Q70362>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Walter Friedländer","<http://www.wikidata.org/entity/Q70476>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Adolph Goldschmidt","<http://www.wikidata.org/entity/Q70804>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Willibald Sauerländer","<http://www.wikidata.org/entity/Q100511>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Paul Frankl","<http://www.wikidata.org/entity/Q107970>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Richard Hamann","<http://www.wikidata.org/entity/Q105944>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Justus Bier","<http://www.wikidata.org/entity/Q113817>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Werner Weisbach","<http://www.wikidata.org/entity/Q2562867>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Karl Leo Heinrich Lehmann","<http://www.wikidata.org/entity/Q1280671>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Gerard E. Caspary","<http://www.wikidata.org/entity/Q1510138>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Heinrich Wölfflin","<http://www.wikidata.org/entity/Q123466>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","James S. Ackerman","<http://www.wikidata.org/entity/Q3161414>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Wolfgang Frankl","<http://www.wikidata.org/entity/Q4020665>","3"
"Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","Christoph Luitpold Frommel","<http://www.wikidata.org/entity/Q20752566>","3"
"Fritz Heinemann","<http://www.wikidata.org/entity/Q1271052>","Arnold Hauser","<http://www.wikidata.org/entity/Q365852>","3"
"Fritz Heinemann","<http://www.wikidata.org/entity/Q1271052>","Bernard Berenson","<http://www.wikidata.org/entity/Q359047>","3"
"Fritz Heinemann","<http://www.wikidata.org/entity/Q1271052>","Alessandro Contini Bonacossi","<http://www.wikidata.org/entity/Q3609940>","3"
"Fritz Heinemann","<http://www.wikidata.org/entity/Q1271052>","Ugo Ojetti","<http://www.wikidata.org/entity/Q4002867>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Lionello Venturi","<http://www.wikidata.org/entity/Q2527217>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Julius von Schlosser","<http://www.wikidata.org/entity/Q84564>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Stefano Bardini","<http://www.wikidata.org/entity/Q593445>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Jacob Burckhardt","<http://www.wikidata.org/entity/Q59945>","3"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Karl Frey","<http://www.wikidata.org/entity/Q5743139>","3"
"Kornél Fabriczy","<http://www.wikidata.org/entity/Q995470>","Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","3"
"Stefano Tumidei","<http://www.wikidata.org/entity/Q55453618>","Andrea Emiliani","<http://www.wikidata.org/entity/Q3615689>","3"
"Stefano Tumidei","<http://www.wikidata.org/entity/Q55453618>","Massimo Ferretti","<http://www.wikidata.org/entity/Q21543541>","3"
"Stefano Tumidei","<http://www.wikidata.org/entity/Q55453618>","Anna Ottani Cavina","<http://www.wikidata.org/entity/Q61481008>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Roberto Longhi","<http://www.wikidata.org/entity/Q1361667>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Steffi Roettgen","<http://www.wikidata.org/entity/Q21264725>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Gerhard Ewald","<http://www.wikidata.org/entity/Q53628961>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Millard Meiss","<http://www.wikidata.org/entity/Q585290>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Benedict Nicolson","<http://www.wikidata.org/entity/Q320152>","3"
"Luisa Vertova","<http://www.wikidata.org/entity/Q61913691>","Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","3"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Ludwig Schudt","<http://www.wikidata.org/entity/Q19754022>","3"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Luca Beltrami","<http://www.wikidata.org/entity/Q937875>","3"
"Ernst Steinmann","<http://www.wikidata.org/entity/Q3057287>","Henriette Hertz","<http://www.wikidata.org/entity/Q103498>","3"
